subject,k,fold,train,test
2,2,0,0.4943820224719101,0.5652173913043478
2,2,1,0.550561797752809,0.6956521739130435
2,2,2,0.5842696629213483,0.5217391304347826
2,4,0,0.5168539325842697,0.391304347826087
2,4,1,0.550561797752809,0.5217391304347826
2,4,2,0.43820224719101125,0.43478260869565216
2,6,0,0.4157303370786517,0.34782608695652173
2,6,1,0.5393258426966292,0.6956521739130435
2,6,2,0.550561797752809,0.5217391304347826
4,2,0,0.5842696629213483,0.43478260869565216
4,2,1,0.449438202247191,0.34782608695652173
4,2,2,0.5393258426966292,0.5652173913043478
4,4,0,0.48314606741573035,0.6521739130434783
4,4,1,0.4157303370786517,0.43478260869565216
4,4,2,0.4044943820224719,0.5217391304347826
4,6,0,0.5056179775280899,0.6521739130434783
4,6,1,0.48314606741573035,0.34782608695652173
4,6,2,0.5280898876404494,0.5652173913043478
10,2,0,0.5168539325842697,0.5217391304347826
10,2,1,0.4606741573033708,0.6086956521739131
10,2,2,0.5056179775280899,0.5652173913043478
10,4,0,0.48314606741573035,0.6521739130434783
10,4,1,0.5056179775280899,0.6956521739130435
10,4,2,0.48314606741573035,0.4782608695652174
10,6,0,0.5393258426966292,0.6521739130434783
10,6,1,0.4606741573033708,0.6086956521739131
10,6,2,0.48314606741573035,0.43478260869565216
41,2,0,0.550561797752809,0.5652173913043478
41,2,1,0.5056179775280899,0.6086956521739131
41,2,2,0.6067415730337079,0.5652173913043478
41,4,0,0.5617977528089888,0.5652173913043478
41,4,1,0.5056179775280899,0.34782608695652173
41,4,2,0.5056179775280899,0.391304347826087
41,6,0,0.47191011235955055,0.5652173913043478
41,6,1,0.47191011235955055,0.391304347826087
41,6,2,0.5955056179775281,0.391304347826087
43,2,0,0.5842696629213483,0.6086956521739131
43,2,1,0.4157303370786517,0.391304347826087
43,2,2,0.47191011235955055,0.5217391304347826
43,4,0,0.5617977528089888,0.5217391304347826
43,4,1,0.550561797752809,0.5652173913043478
43,4,2,0.6067415730337079,0.43478260869565216
43,6,0,0.5842696629213483,0.4782608695652174
43,6,1,0.4606741573033708,0.43478260869565216
43,6,2,0.550561797752809,0.5652173913043478
44,2,0,0.5280898876404494,0.391304347826087
44,2,1,0.4943820224719101,0.391304347826087
44,2,2,0.5730337078651685,0.5217391304347826
44,4,0,0.5393258426966292,0.4782608695652174
44,4,1,0.43820224719101125,0.43478260869565216
44,4,2,0.449438202247191,0.5217391304347826
44,6,0,0.48314606741573035,0.391304347826087
44,6,1,0.48314606741573035,0.4782608695652174
44,6,2,0.449438202247191,0.6521739130434783
45,2,0,0.6292134831460674,0.43478260869565216
